id,hexes,planes,accepted,selected,min_scaled_jacobian,nine_point_min_sj,cell_min_sj_p05,cell_min_sj_median,max_condition,volume_ratio,volume_cv,worst_cell_edge_ratio,reason
67,48,axial,True,untangled HexOpt,0.11081572236916265,0.11081572236916265,0.1116223347778988,0.2703938246881964,18.752487870697664,284.36937548129447,2.211724241784054,9.239054698007667,
34,48,diagonal,True,untangled HexOpt,0.11004447534366646,0.11004447534366646,0.11004447534366646,0.11462909075146377,13236.019595189699,187.25931924125214,1.8812111402393537,9406.462621661472,
39,48,diagonal,True,untangled HexOpt,0.09012258488684598,0.09012258488684598,0.09012258488684598,0.1047502497895191,32.916363504335855,312.1053430195615,1.811820531894878,15.105577569320166,
18,48,diagonal,True,untangled initial,0.08456325758262613,0.08456325758262613,0.09602271045436139,0.2571585314249967,21.420242929482853,332.43569421131167,2.195042354152998,13.443390043803998,
40,48,diagonal,True,untangled HexOpt,0.08015185523970442,0.08015185523970442,0.08027122905329907,0.10754267415000023,31.53469008100668,283.72978670975283,1.8075469317642379,14.646808923327848,
38,48,diagonal,True,untangled HexOpt,0.08011497145396008,0.08011497145396008,0.08011497145396008,0.1472836093016092,43.77932030424973,105.13521560500193,1.681070011381749,33.24846941827522,
65,48,axial,True,untangled HexOpt,0.0752254703448309,0.0752254703448309,0.07625376554468764,0.2127543083537336,33.078096439030126,317.8142797546252,2.1949714510242213,11.641268337805123,
20,48,diagonal,True,untangled initial,0.07304339675138305,0.07304339675138305,0.07530211569858321,0.24532570349898197,31.778314210160236,328.17128122666486,2.2085449568523887,9.927660912060606,
48,48,diagonal,True,untangled initial,0.026832700981383538,0.026832700981383538,0.04353153242929636,0.14613781787930855,70.27309532647081,173.73478074683806,1.7619502442963868,10.198435062528446,
17,48,diagonal,False,,,,,,,,,,nonmanifold topology
23,48,diagonal,False,,,,,,,,,,nonmanifold topology
30,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
46,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
51,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
52,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
56,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
57,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
62,48,diagonal,False,,,,,,,,,,No certified positive embedding obtained
published88,88,x = 0,True,"Published coordinates, affine normalization and prescribed boundary restoration; no interior optimization",0.16009168774854193,0.16009168774854193,0.16386948604429072,0.2703078468443357,98.96003682339109,444.4777377706948,1.1876015578054446,73.23331543555436,
